# manifest	= https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/manifest.json
# HNG code	= H08
# HNG source ID	= myz
# osid	sid	page	ln	cn	x	y	w	h	char	hng-gid	flg	remarks	img	mx	my	canvas
23205	23205	f2	2	5	2723	808	89	68	又		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23206	23206	f2	2	6	2717	875	89	87	聞		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23207	23207	f2	2	7	2707	958	107	79	授		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23208	23208	f2	2	8	2701	1034	116	87	諸		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23209	23209	f2	2	9	2721	1117	105	77	大		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23210	23210	f2	2	10	2716	1190	91	88	弟		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23211	23211	f2	2	11	2727	1279	78	80	子		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23212	23212	f2	2	12	2716	1357	95	85	阿		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23213	23213	f2	2	13	2703	1435	107	94	耨		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23214	23214	f2	2	14	2711	1522	88	82	多		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23215	23215	f2	2	15	2710	1606	99	83	羅		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23216	23216	f2	2	16	2714	1684	95	77	三		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23217	23217	f2	3	0	2579	396	106	97	藐		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23218	23218	f2	3	1	2590	492	92	69	三		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23219	23219	f2	3	2	2572	559	106	89	菩		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23220	23220	f2	3	3	2577	641	120	87	提		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23221	23221	f2	3	4	2576	727	119	78	記		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23222	23222	f2	3	5	2593	805	92	79	復		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23223	23223	f2	3	6	2593	883	87	91	聞		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23224	23224	f2	3	7	2590	967	88	82	宿		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23225	23225	f2	3	8	2577	1047	98	73	世		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23226	23226	f2	3	9	2603	1123	71	80	因		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23227	23227	f2	3	10	2579	1200	115	84	縁		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23228	23228	f2	3	11	2590	1280	104	75	之		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23229	23229	f2	3	12	2593	1353	94	89	事		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23230	23230	f2	3	13	2589	1442	101	92	復		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23231	23231	f2	3	14	2597	1527	87	85	聞		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23232	23232	f2	3	15	2577	1603	107	80	諸		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23233	23233	f2	3	16	2583	1679	105	80	佛		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23234	23234	f2	4	0	2457	395	92	94	有		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23235	23235	f2	4	1	2465	485	95	70	大		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23236	23236	f2	4	2	2475	552	84	76	自		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23237	23237	f2	4	3	2458	623	105	80	在		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23238	23238	f2	4	4	2455	700	108	92	神		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23239	23239	f2	4	5	2462	791	111	86	通		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23240	23240	f2	4	6	2466	875	98	77	之		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23241	23241	f2	4	7	2477	952	73	77	力		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
